State,Month,Monthly_Total_Revenue
Maine,2022-01,15700.31
Maine,2022-02,21008.29
Maine,2022-03,23173.23
Maine,2022-04,20169.19
Maine,2022-05,22631.11
Maine,2022-06,31573.93
Maine,2022-07,19371.11
Maine,2022-08,27979.07
Maine,2022-09,27393.3
Maine,2022-10,24947.09
Maine,2022-11,19783.08
Maine,2022-12,25345.23
Maine,2023-01,41331.95
Maine,2023-02,37650.3
Maine,2023-03,36162.92
Maine,2023-04,35875.41
Maine,2023-05,26201.22
Maine,2023-06,30183.66
Maine,2023-07,44731.17
Maine,2023-08,42202.08
Maine,2023-09,44862.59
Maine,2023-10,34905.29
Maine,2023-11,35428.88
Maine,2023-12,41279.32
Maine,2024-01,43881.68
Maine,2024-02,31494.48
Maine,2024-03,36311.69
Maine,2024-04,25764.94
Maine,2024-05,31426.2
Maine,2024-06,43488.630000000005
Maine,2024-07,42202.08
Maine,2024-08,46505.54
Maine,2024-09,33262.34
Maine,2024-10,36520.57
Maine,2024-11,40187.63
Maine,2024-12,41331.95
Maine,2025-01,45308.75
Maine,2025-02,51793.28
Maine,2025-03,45762.659999999996
Maine,2025-04,63103.49
Maine,2025-05,46499.27
Maine,2025-06,57053.98
Maine,2025-07,59531.020000000004
Maine,2025-08,61070.43
Maine,2025-09,48485.08
Maine,2025-10,93456.68000000001
Maine,2025-11,57222.33
Maine,2025-12,65695.32
New Jersey,2022-01,70597.51
New Jersey,2022-02,63225.69
New Jersey,2022-03,64779.71
New Jersey,2022-04,78465.40000000001
New Jersey,2022-05,73037.02
New Jersey,2022-06,66868.55
New Jersey,2022-07,72096.47
New Jersey,2022-08,73904.91
New Jersey,2022-09,77869.16
New Jersey,2022-10,83610.78
New Jersey,2022-11,70526.89
New Jersey,2022-12,84464.75
New Jersey,2023-01,115439.64
New Jersey,2023-02,91815.52
New Jersey,2023-03,101529.42
New Jersey,2023-04,94095.22
New Jersey,2023-05,93011.83
New Jersey,2023-06,88203.9
New Jersey,2023-07,98822.98
New Jersey,2023-08,107203.9
New Jersey,2023-09,95680.79
New Jersey,2023-10,108715.83
New Jersey,2023-11,106648.71
New Jersey,2023-12,111495.71
New Jersey,2024-01,99272.17
New Jersey,2024-02,96699.78
New Jersey,2024-03,95231.21
New Jersey,2024-04,91875.84
New Jersey,2024-05,89476.87
New Jersey,2024-06,97550.01
New Jersey,2024-07,107203.9
New Jersey,2024-08,98470.41
New Jersey,2024-09,105926.21
New Jersey,2024-10,110232.92
New Jersey,2024-11,107911.5
New Jersey,2024-12,115439.64
New Jersey,2025-01,148558.26
New Jersey,2025-02,131102.08
New Jersey,2025-03,138083.24
New Jersey,2025-04,138626.24
New Jersey,2025-05,133865.16
New Jersey,2025-06,144521.48
New Jersey,2025-07,149097.1
New Jersey,2025-08,151923.99
New Jersey,2025-09,163449.78
New Jersey,2025-10,250830.46
New Jersey,2025-11,146953.33
New Jersey,2025-12,170994.0
