State,Month,Category,Number_of_Transactions
Maine,2022-01,Apparel and Merchandise,30
Maine,2022-01,Art Supplies,31
Maine,2022-01,Books (General),12
Maine,2022-01,Stationery and Supplies,29
Maine,2022-01,Technology & Accessories,35
Maine,2022-01,Textbooks,24
Maine,2022-02,Apparel and Merchandise,22
Maine,2022-02,Art Supplies,27
Maine,2022-02,Books (General),14
Maine,2022-02,Stationery and Supplies,23
Maine,2022-02,Technology & Accessories,35
Maine,2022-02,Textbooks,22
Maine,2022-03,Apparel and Merchandise,23
Maine,2022-03,Art Supplies,29
Maine,2022-03,Books (General),15
Maine,2022-03,Stationery and Supplies,29
Maine,2022-03,Technology & Accessories,35
Maine,2022-03,Textbooks,20
Maine,2022-04,Apparel and Merchandise,30
Maine,2022-04,Art Supplies,32
Maine,2022-04,Books (General),12
Maine,2022-04,Stationery and Supplies,28
Maine,2022-04,Technology & Accessories,32
Maine,2022-04,Textbooks,32
Maine,2022-05,Apparel and Merchandise,34
Maine,2022-05,Art Supplies,27
Maine,2022-05,Books (General),15
Maine,2022-05,Stationery and Supplies,31
Maine,2022-05,Technology & Accessories,41
Maine,2022-05,Textbooks,23
Maine,2022-06,Apparel and Merchandise,27
Maine,2022-06,Art Supplies,28
Maine,2022-06,Books (General),17
Maine,2022-06,Stationery and Supplies,33
Maine,2022-06,Technology & Accessories,46
Maine,2022-06,Textbooks,22
Maine,2022-07,Apparel and Merchandise,36
Maine,2022-07,Art Supplies,25
Maine,2022-07,Books (General),12
Maine,2022-07,Stationery and Supplies,39
Maine,2022-07,Technology & Accessories,32
Maine,2022-07,Textbooks,44
Maine,2022-08,Apparel and Merchandise,29
Maine,2022-08,Art Supplies,29
Maine,2022-08,Books (General),13
Maine,2022-08,Stationery and Supplies,34
Maine,2022-08,Technology & Accessories,34
Maine,2022-08,Textbooks,33
Maine,2022-09,Apparel and Merchandise,23
Maine,2022-09,Art Supplies,21
Maine,2022-09,Books (General),16
Maine,2022-09,Stationery and Supplies,38
Maine,2022-09,Technology & Accessories,35
Maine,2022-09,Textbooks,39
Maine,2022-10,Apparel and Merchandise,25
Maine,2022-10,Art Supplies,33
Maine,2022-10,Books (General),12
Maine,2022-10,Stationery and Supplies,36
Maine,2022-10,Technology & Accessories,34
Maine,2022-10,Textbooks,33
Maine,2022-11,Apparel and Merchandise,22
Maine,2022-11,Art Supplies,17
Maine,2022-11,Books (General),20
Maine,2022-11,Stationery and Supplies,25
Maine,2022-11,Technology & Accessories,35
Maine,2022-11,Textbooks,21
Maine,2022-12,Apparel and Merchandise,27
Maine,2022-12,Art Supplies,29
Maine,2022-12,Books (General),15
Maine,2022-12,Stationery and Supplies,26
Maine,2022-12,Technology & Accessories,34
Maine,2022-12,Textbooks,29
Maine,2023-01,Apparel and Merchandise,36
Maine,2023-01,Art Supplies,33
Maine,2023-01,Books (General),20
Maine,2023-01,Stationery and Supplies,44
Maine,2023-01,Technology & Accessories,61
Maine,2023-01,Textbooks,37
Maine,2023-02,Apparel and Merchandise,48
Maine,2023-02,Art Supplies,40
Maine,2023-02,Books (General),13
Maine,2023-02,Stationery and Supplies,39
Maine,2023-02,Technology & Accessories,57
Maine,2023-02,Textbooks,27
Maine,2023-03,Apparel and Merchandise,44
Maine,2023-03,Art Supplies,43
Maine,2023-03,Books (General),13
Maine,2023-03,Stationery and Supplies,65
Maine,2023-03,Technology & Accessories,54
Maine,2023-03,Textbooks,36
Maine,2023-04,Apparel and Merchandise,61
Maine,2023-04,Art Supplies,46
Maine,2023-04,Books (General),22
Maine,2023-04,Stationery and Supplies,56
Maine,2023-04,Technology & Accessories,54
Maine,2023-04,Textbooks,42
Maine,2023-05,Apparel and Merchandise,53
Maine,2023-05,Art Supplies,42
Maine,2023-05,Books (General),16
Maine,2023-05,Stationery and Supplies,52
Maine,2023-05,Technology & Accessories,43
Maine,2023-05,Textbooks,32
Maine,2023-06,Apparel and Merchandise,47
Maine,2023-06,Art Supplies,36
Maine,2023-06,Books (General),15
Maine,2023-06,Stationery and Supplies,44
Maine,2023-06,Technology & Accessories,45
Maine,2023-06,Textbooks,36
Maine,2023-07,Apparel and Merchandise,50
Maine,2023-07,Art Supplies,35
Maine,2023-07,Books (General),16
Maine,2023-07,Stationery and Supplies,44
Maine,2023-07,Technology & Accessories,63
Maine,2023-07,Textbooks,47
Maine,2023-08,Apparel and Merchandise,55
Maine,2023-08,Art Supplies,46
Maine,2023-08,Books (General),27
Maine,2023-08,Stationery and Supplies,49
Maine,2023-08,Technology & Accessories,71
Maine,2023-08,Textbooks,31
