State,Store_ID,Store_Location,Transactions_Over_1000
New Jersey,835,Newark,177
New Jersey,838,Trenton,163
New Jersey,824,Atlantic City,100
Maine,823,South Portland,97
New Jersey,830,Hoboken,96
Maine,818,Bangor,93
Maine,820,Kennebunkport,93
New Jersey,839,Vineland,86
Maine,822,Orono,85
New Jersey,833,Morristown,85
New Jersey,831,Jersey City,84
Maine,821,Lewiston,82
New Jersey,836,Passaic,82
New Jersey,828,East Orange,80
New Jersey,827,Clifton,78
New Jersey,834,New Brunswick,78
New Jersey,829,Hackensack,76
Maine,819,Bar Harbor,70
New Jersey,826,Cape May,69
New Jersey,825,Bayonne,66
New Jersey,832,Montclair,56
New Jersey,837,Paterson,21
