Prod_Num,Product,Category,Subcategory,Total_Revenue,Total_Transactions
105341-IT,MSI Creator Z16,Technology & Accessories,Laptops,1199316.0,680
105325-IT,"Apple MacBook Pro (M2, 14-inch)",Technology & Accessories,Laptops,1082151.0,630
105326-IT,"Apple MacBook Air (M2, 13-inch)",Technology & Accessories,Laptops,1003136.8,584
105337-IT,HP Pavilion 14,Technology & Accessories,Laptops,913919.7600000001,702
105333-IT,ASUS VivoBook S15,Technology & Accessories,Laptops,900524.0,697
105334-IT,Samsung Galaxy Book Pro,Technology & Accessories,Laptops,890257.12,698
105324-IT,Lenovo IdeaPad Flex 5,Technology & Accessories,Laptops,877535.4,678
105330-IT,LG Gram 17,Technology & Accessories,Laptops,876792.28,637
105332-IT,HP Spectre x360,Technology & Accessories,Laptops,874421.04,699
105331-IT,Acer Chromebook Spin 713,Technology & Accessories,Laptops,872358.2,674
