Transaction_Date,Sale_Amount,Store_Location,State,Territory_Manager
2022-01-01,28.88,Bangor,Maine,Erbayne Middleton
2022-01-01,178.6,Trenton,New Jersey,Miami Vue
2022-01-01,2.4,Passaic,New Jersey,Miami Vue
2022-01-01,9.95,Newark,New Jersey,Miami Vue
2022-01-01,47.61,Newark,New Jersey,Miami Vue
2022-01-01,9.09,Newark,New Jersey,Miami Vue
2022-01-01,312.7,Newark,New Jersey,Miami Vue
2022-01-01,7.85,New Brunswick,New Jersey,Miami Vue
2022-01-01,57.7,Morristown,New Jersey,Miami Vue
2022-01-01,48.0,Morristown,New Jersey,Miami Vue
2022-01-01,28.92,Montclair,New Jersey,Miami Vue
2022-01-01,63.7,Newark,New Jersey,Miami Vue
2022-01-01,296.6,Clifton,New Jersey,Miami Vue
2022-01-01,4.32,Cape May,New Jersey,Miami Vue
2022-01-01,18.0,Cape May,New Jersey,Miami Vue
2022-01-01,1301.88,Atlantic City,New Jersey,Miami Vue
2022-01-01,2.88,South Portland,Maine,Erbayne Middleton
2022-01-01,32.64,South Portland,Maine,Erbayne Middleton
2022-01-01,6.02,Orono,Maine,Erbayne Middleton
2022-01-01,24.28,Orono,Maine,Erbayne Middleton
2022-01-01,30.16,Lewiston,Maine,Erbayne Middleton
2022-01-01,187.25,East Orange,New Jersey,Miami Vue
2022-01-02,12.15,Montclair,New Jersey,Miami Vue
2022-01-02,12.4,Morristown,New Jersey,Miami Vue
2022-01-02,44.0,Morristown,New Jersey,Miami Vue
2022-01-02,44.5,Newark,New Jersey,Miami Vue
2022-01-02,9.95,Passaic,New Jersey,Miami Vue
2022-01-02,23.44,Newark,New Jersey,Miami Vue
2022-01-02,237.28,Passaic,New Jersey,Miami Vue
2022-01-02,204.58,Passaic,New Jersey,Miami Vue
2022-01-02,7.0,Hoboken,New Jersey,Miami Vue
2022-01-02,23.44,Newark,New Jersey,Miami Vue
2022-01-02,132.9,Hoboken,New Jersey,Miami Vue
2022-01-02,48.0,South Portland,Maine,Erbayne Middleton
2022-01-02,29.81,East Orange,New Jersey,Miami Vue
2022-01-02,68.88,East Orange,New Jersey,Miami Vue
2022-01-02,67.85,Bayonne,New Jersey,Miami Vue
2022-01-02,10.1,Atlantic City,New Jersey,Miami Vue
2022-01-02,44.5,Orono,Maine,Erbayne Middleton
2022-01-02,20.36,Lewiston,Maine,Erbayne Middleton
2022-01-02,265.07,Kennebunkport,Maine,Erbayne Middleton
2022-01-02,68.88,Bar Harbor,Maine,Erbayne Middleton
2022-01-02,7.85,Bangor,Maine,Erbayne Middleton
