State,Subcategory,Total_Revenue,Number_of_Transactions
Maine,Laptops,707578.47,538
Maine,Tablets,352681.23,468
Maine,Software Download,154522.81,521
Maine,Business & Economics,55744.92,346
Maine,Calculators,53967.67,156
Maine,Headphones,46416.86,402
Maine,Health Sciences,45734.87,252
Maine,Engineering & Technology,39777.55,257
Maine,Social Sciences,39156.94,167
Maine,External Accessories,35185.02,473
Maine,Humanities,30281.78,176
Maine,"Clothing (T-Shirts, Hoodies, and Jackets)",30193.06,559
Maine,Math and Statistics,24164.03,138
Maine,Technology and Computing,20363.01,86
Maine,Miscellaneous Academic Topics,18642.55,85
Maine,Drawing and Sketching Tools,17537.72,306
Maine,Science,17101.14,77
Maine,Paint Brushes,14933.48,510
Maine,Paints,14933.48,510
Maine,Accessories,13064.35,426
Maine,Sketchbooks and Paper,13029.300000000001,318
Maine,Language and Linguistics,10681.64,97
Maine,Study Guides,10543.44,141
Maine,Fiction,9751.74,486
Maine,Hats and Caps,9235.5,247
Maine,Chargers and Power Adapters,8937.78,290
Maine,Non-Fiction,8526.77,392
Maine,Exam Prep and Study Guides,7682.45,119
Maine,Sports and Outdoor Gear,7397.78,280
Maine,Home and Decor,7319.17,253
Maine,Technology Accessories,6165.38,228
Maine,Calligraphy and Lettering,4780.0,144
Maine,Binders and Folders,4622.92,294
Maine,Office and Study Supplies,3650.29,265
Maine,Miscellaneous Supplies,3642.65,257
Maine,Memorabilia and Collectibles,3586.0,294
Maine,Writing Instruments,3378.0499999999997,426
Maine,Miscellaneous Art Supplies,3319.0,252
Maine,Kids Art Supplies,3155.72,149
Maine,Sculpting Supplies,3152.52,141
Maine,Easels and Storage,2673.69,110
Maine,Paper Products,2645.95,201
Maine,Notebooks and Notepads,2577.54,256
Maine,Art Supplies,2410.5,243
Maine,Adhesives and Tapes,2084.8399999999997,253
Maine,Pencils and Erasers,2026.98,331
Maine,Cutting and Measuring Tools,1811.4,116
Maine,Desk Accessories,1785.9599999999998,232
Maine,Organization Supplies,1553.1499999999999,193
Maine,Planners and Calendars,988.56,77
Maine,Reference Materials,908.3000000000001,31
Maine,Palettes and Mixing Tools,756.92,29
New Jersey,Laptops,1929976.3,1464
New Jersey,Tablets,870242.84,1150
New Jersey,Software Download,394489.54,1345
New Jersey,Headphones,161813.9,1387
New Jersey,Business & Economics,160568.56,987
New Jersey,Calculators,157931.07,460
New Jersey,Health Sciences,134177.6,750
New Jersey,Social Sciences,118140.39,510
New Jersey,Engineering & Technology,112541.2,747
New Jersey,Humanities,91438.7,530
New Jersey,External Accessories,89512.3,1209
New Jersey,"Clothing (T-Shirts, Hoodies, and Jackets)",89255.56,1648
New Jersey,Technology and Computing,72913.19,310
New Jersey,Math and Statistics,69053.01,376
New Jersey,Science,59783.44,266
New Jersey,Miscellaneous Academic Topics,53513.17,240
New Jersey,Drawing and Sketching Tools,49047.2,860
New Jersey,Paint Brushes,43139.41,1433
New Jersey,Paints,43139.41,1433
New Jersey,Language and Linguistics,41891.86,346
New Jersey,Accessories,35325.48,1188
New Jersey,Hats and Caps,34064.8,879
New Jersey,Sketchbooks and Paper,33217.44,831
New Jersey,Study Guides,31307.760000000002,419
New Jersey,Fiction,29146.23,1388
New Jersey,Chargers and Power Adapters,26772.47,868
New Jersey,Non-Fiction,26466.62,1223
New Jersey,Exam Prep and Study Guides,22778.55,357
New Jersey,Home and Decor,20912.649999999998,721
New Jersey,Technology Accessories,20262.26,739
New Jersey,Sports and Outdoor Gear,18554.46,701
New Jersey,Calligraphy and Lettering,16012.0,413
New Jersey,Binders and Folders,13183.3,857
New Jersey,Miscellaneous Supplies,12422.26,909
New Jersey,Writing Instruments,10906.16,1357
New Jersey,Office and Study Supplies,10493.2,762
New Jersey,Miscellaneous Art Supplies,9069.0,673
New Jersey,Paper Products,8616.61,677
New Jersey,Memorabilia and Collectibles,8413.0,715
New Jersey,Kids Art Supplies,8205.23,410
New Jersey,Sculpting Supplies,7875.17,336
New Jersey,Easels and Storage,6982.58,286
New Jersey,Art Supplies,6881.59,699
New Jersey,Notebooks and Notepads,6629.42,726
New Jersey,Adhesives and Tapes,6266.2699999999995,754
New Jersey,Cutting and Measuring Tools,5792.0,375
New Jersey,Desk Accessories,5395.83,693
New Jersey,Pencils and Erasers,4907.0,803
New Jersey,Organization Supplies,4533.22,547
New Jersey,Planners and Calendars,3428.7999999999997,243
New Jersey,Reference Materials,3398.8,116
New Jersey,Palettes and Mixing Tools,2934.92,112
